[page=1]
序号	代码	名称	现价	涨跌幅(%)	涨跌	涨速(%)	换手(%)	量比	振幅(%)	成交额	流通股	流通市值	市盈率
49	688630	芯碁微装	410.05	10.59	39.25	-0.05	3.99	1.40	9.67	21.04亿	1.32亿	540.20亿	106.74
50	688031	星环科技-U	117.00	10.50	11.12	0.00	9.01	1.44	12.06	12.26亿	1.21亿	141.73亿	亏损
51	300548	长芯博创	213.99	10.43	20.21	0.09	6.02	1.62	10.00	37.04亿	2.94亿	629.58亿	98.13
52	300308	中际旭创	898.46	10.38	84.46	0.00	3.89	1.79	8.12	376.35亿	11.10亿	9972.34亿	38.76
53	000078	ST海王	1.60	10.35	0.15	0.00	6.28	2.22	4.14	2.62亿	26.30亿	42.08亿	亏损
54	688205	德科立	214.03	10.32	20.03	0.01	13.33	1.35	9.81	43.64亿	1.59亿	340.82亿	173.43
55	688048	长光华芯	300.00	10.28	27.97	0.00	6.98	1.63	10.33	35.66亿	1.76亿	528.84亿	871.58
56	300946	恒而达	40.40	10.23	3.75	-0.25	5.36	5.10	14.05	1.62亿	7579.90万	30.62亿	107.92
57	000816	智慧农业	3.25	10.17	0.30	0.00	7.89	2.18	10.85	3.64亿	14.40亿	46.78亿	415.41
58	600103	青山纸业	3.91	10.14	0.36	0.00	22.27	0.91	11.83	18.75亿	22.12亿	86.50亿	108.89
59	600400	红豆股份	3.15	10.14	0.29	0.00	2.72	1.65	9.79	1.91亿	22.91亿	72.18亿	亏损
60	920178	锐翔智能	95.07	10.11	8.73	0.00	10.81	2.36	13.67	1.95亿	1925.52万	18.31亿	48.22
[page=4]
序号	代码	名称	现价	涨跌幅(%)	涨跌	涨速(%)	换手(%)	量比	振幅(%)	成交额	流通股	流通市值	市盈率
61	300757	罗博特科	631.94	10.10	57.95	0.00	5.64	1.41	7.66	56.30亿	1.63亿	1027.32亿	8076.92
62	600108	亚盛集团	4.80	10.09	0.44	0.00	1.09	0.09	--	1.02亿	19.47亿	93.45亿	187.51
63	300969	恒帅股份	84.66	10.08	7.75	-0.11	7.04	1.39	13.73	4.59亿	7827.53万	66.27亿	88.49
64	000759	中百集团	7.00	10.06	0.64	0.00	19.05	1.48	11.16	8.57亿	6.56亿	45.90亿	亏损
65	002483	润邦股份	6.02	10.05	0.55	0.00	5.50	4.73	9.14	2.88亿	8.85亿	53.29亿	22.87
66	001330	博纳影业	6.35	10.05	0.58	0.00	19.12	1.02	8.84	13.53亿	11.63亿	73.84亿	亏损
67	002470	金正大	2.30	10.05	0.21	0.00	10.76	1.45	10.05	7.90亿	32.86亿	75.57亿	亏损
68	600354	敦煌种业	9.53	10.05	0.87	0.00	11.51	0.41	6.12	5.69亿	5.28亿	50.30亿	17.38
69	002011	盾安环境	11.94	10.05	1.09	0.00	7.84	5.49	8.66	9.76亿	10.62亿	126.74亿	13.74
70	600865	百大集团	12.49	10.04	1.14	0.00	4.68	0.66	0.18	2.20亿	3.76亿	46.99亿	206.48
71	603628	清源股份	10.85	10.04	0.99	0.00	6.68	2.84	10.24	1.93亿	2.72亿	29.53亿	70.25
72	601086	国芳集团	13.92	10.04	1.27	0.00	8.88	1.18	7.83	8.09亿	6.66亿	92.71亿	65.16
73	600770	综艺股份	5.59	10.04	0.51	0.00	3.23	2.59	10.04	2.25亿	13.00亿	72.67亿	77.08
74	002815	崇达技术	16.01	10.03	1.46	0.00	10.99	2.73	9.07	13.34亿	7.77亿	124.42亿	64.91
75	605577	龙版传媒	17.11	10.03	1.56	0.00	3.34	0.50	3.54	2.51亿	4.44亿	76.04亿	48.33
76	002972	科安达	13.93	10.03	1.27	0.00	10.55	2.17	10.11	1.96亿	1.38亿	19.29亿	36.49
77	001366	播恩集团	15.80	10.03	1.44	0.00	3.48	0.50	1.74	8831.67万	1.61亿	25.39亿	124.72
78	600791	京能置业	8.01	10.03	0.73	0.00	5.21	0.99	10.99	1.85亿	4.52亿	36.23亿	亏损
79	601595	上海电影	20.63	10.03	1.88	0.00	4.57	0.84	10.72	4.08亿	4.48亿	92.46亿	303.05
80	603118	共进股份	17.89	10.03	1.63	0.00	4.64	0.38	5.47	6.46亿	7.87亿	140.84亿	96.96
[page=5]
序号	代码	名称	现价	涨跌幅(%)	涨跌	涨速(%)	换手(%)	量比	振幅(%)	成交额	流通股	流通市值	市盈率
81	603608	天创时尚	23.05	10.02	2.10	0.00	5.12	1.02	10.02	4.86亿	4.25亿	97.97亿	175.10
82	000428	华天酒店	5.16	10.02	0.47	0.00	10.14	1.44	11.94	5.17亿	10.19亿	52.58亿	亏损
83	002708	光洋股份	16.80	10.02	1.53	0.00	11.16	0.95	11.98	9.32亿	5.10亿	85.62亿	82.54
84	002988	豪美新材	28.77	10.02	2.62	0.00	6.21	2.08	10.02	4.31亿	2.50亿	71.87亿	44.35
85	002403	爱仕达	12.41	10.02	1.13	0.00	13.47	6.94	11.88	4.74亿	2.97亿	36.88亿	亏损
86	600330	天通股份	28.89	10.02	2.63	0.00	6.36	0.90	6.78	22.39亿	12.33亿	356.34亿	亏损
87	603395	红四方	29.77	10.02	2.71	0.00	29.06	0.92	10.02	5.48亿	6500.00万	19.35亿	147.40
88	001229	魅视科技	38.89	10.01	3.54	0.00	6.54	1.29	10.16	1.81亿	7375.12万	28.68亿	663.04
89	603936	博敏电子	17.58	10.01	1.60	0.00	8.11	1.47	9.01	8.76亿	6.30亿	110.82亿	亏损
90	603286	日盈电子	47.36	10.01	4.31	0.00	5.74	1.38	9.90	3.08亿	1.17亿	55.36亿	亏损
91	603119	浙江荣泰	51.65	10.01	4.70	0.00	2.67	1.37	9.07	6.41亿	4.73亿	244.23亿	81.33
92	600857	宁波中百	22.86	10.01	2.08	0.00	8.31	2.12	11.79	4.10亿	2.24亿	51.28亿	221.50
93	603823	百合花	58.04	10.01	5.28	0.00	3.27	0.68	8.83	7.78亿	4.16亿	241.66亿	104.62
94	002290	禾盛新材	68.05	10.01	6.19	0.00	4.90	2.21	9.78	8.02亿	2.47亿	168.31亿	61.98
95	000823	超声电子	15.94	10.01	1.45	0.00	8.93	1.61	8.49	8.34亿	5.95亿	94.83亿	41.79
96	603192	汇得科技	20.89	10.01	1.90	0.00	2.70	1.50	10.90	9017.12万	1.65亿	34.47亿	43.17
97	002980	华盛昌	118.10	10.00	10.74	0.00	11.06	1.03	9.82	12.85亿	1.01亿	119.62亿	147.98
98	001267	汇绿生态	38.71	10.00	3.52	0.00	6.70	1.71	8.58	15.45亿	6.09亿	235.57亿	560.87
99	688123	聚辰股份	137.79	10.00	12.53	-0.11	7.42	2.05	10.87	16.11亿	1.59亿	219.05亿	20.85
100	002138	顺络电子	48.94	10.00	4.45	0.00	5.48	1.68	9.31	20.09亿	7.66亿	375.05亿	44.13
[page=6]
location.href="//upass.10jqka.com.cn/login?redir=https://q.10jqka.com.cn"
